Z(km) N2 CO2 CO O O2 N H NO H2 H2O
188 41400000 290000000 8500000 99000000 21800000 346000 186666.6667 830000 234000 830000
189 40200000 270000000 8000000 97000000 21400000 328000 185000 790000 232000 790000
190 39000000 250000000 7500000 95000000 21000000 310000 183333.3333 750000 230000 750000
191 36600000 230000000 6940000 94000000 20400000 294000 181666.6667 720000 228000 720000
192 34200000 210000000 6380000 93000000 19800000 278000 180000 690000 226000 690000
193 31800000 190000000 5820000 92000000 19200000 262000 178333.3333 660000 224000 660000
194 29400000 170000000 5260000 91000000 18600000 246000 176666.6667 630000 222000 630000
195 27000000 150000000 4700000 90000000 18000000 230000 175000 600000 220000 600000
196 25800000 144000000 4400000 87000000 17200000 222000 173333.3333 580000 218000 580000
197 24600000 138000000 4100000 84000000 16400000 214000 171666.6667 560000 216000 560000
198 23400000 132000000 3800000 81000000 15600000 206000 170000 540000 214000 540000
199 22200000 126000000 3500000 78000000 14800000 198000 168333.3333 520000 212000 520000
200 21000000 120000000 3200000 75000000 14000000 190000 166666.6667 500000 210000 500000
201 20069278.1 111749008 3058175.711 73082137.05 13293152.46 185741.8766 166397.0502 476295.203 208644.4268 476295.203
202 19179805.88 104065340 2922637.086 71213316.75 12621993.02 181579.1828 166127.8699 453714.2407 207297.6039 453714.2407
203 18329755.15 96909988 2793105.546 69392285 11984719.83 177509.7799 165859.125 432203.8327 205959.4749 432203.8327
204 17517378.74 90246625 2669314.856 67617819.77 11379621.99 173531.577 165590.8149 411713.2245 204629.9837 411713.2245
205 16741006.93 84041424 2551010.58 65888730.28 10805075 169642.5304 165322.9388 392194.0676 203309.0746 392194.0676
206 15999043.99 78262882 2437949.56 64203856.23 10259536.38 165840.6418 165055.4961 373600.3061 201996.692 373600.3061
207 15289964.91 72881662 2329899.415 62562066.93 9741541.523 162123.9581 164788.486 355888.0672 200692.781 355888.0672
208 14612312.28 67870445 2226638.062 60962260.67 9249699.761 158490.5696 164521.9079 339015.5584 199397.2869 339015.5584
209 13964693.28 63203791 2127953.262 59403363.85 8782690.652 154938.6096 164255.761 322942.9684 198110.1554 322942.9684
210 13345776.81 58858008 2033642.181 57884330.38 8339260.418 151466.2532 163990.0446 307632.3734 196831.3324 307632.3734
211 12754290.78 54811033 1943510.975 56404140.88 7918218.581 148071.7164 163724.7581 293047.6474 195560.7644 293047.6474
212 12189019.46 51042322 1857374.393 54961802.06 7518434.772 144753.2551 163459.9007 279154.3774 194298.398 279154.3774
213 11648801.01 47532740 1775055.392 53556346.01 7138835.692 141509.1645 163195.4719 265919.7817 193044.1803 265919.7817
214 11132525.1 44264472 1696384.777 52186829.59 6778402.231 138337.7778 162931.4707 253312.6328 191798.0588 253312.6328
215 10639130.58 41220923 1621200.85 50852333.76 6436166.735 135237.4655 162667.8967 241303.1837 190559.9811 241303.1837
216 10167603.35 38386644 1549349.081 49551963.01 6111210.405 132206.6349 162404.749 229863.0977 189329.8953 229863.0977
217 9716974.247 35747245 1480681.79 48284844.69 5802660.831 129243.7288 162142.027 218965.3815 188107.7499 218965.3815
218 9286317.069 33289327 1415057.839 47050128.49 5509689.649 126347.2249 161879.7301 208584.3217 186893.4936 208584.3217
219 8874746.656 31000410 1352342.348 45846985.85 5231510.323 123515.6351 161617.8574 198695.4237 185687.0754 198695.4237
220 8481417.082 28868876 1292406.412 44674609.38 4967376.022 120747.5045 161356.4084 189275.3543 184488.4448 189275.3543
221 8105519.909 26883902 1235126.843 43532212.34 4716577.628 118041.411 161095.3823 180301.8866 183297.5515 180301.8866
222 7746282.534 25035412 1180385.91 42419028.11 4478441.821 115395.9642 160834.7785 171753.8473 182114.3455 171753.8473
223 7402966.591 23314020 1128071.1 41334309.68 4252329.28 112809.8049 160574.5963 163611.0671 180938.7773 163611.0671
224 7074866.442 21710989 1078074.886 40277329.14 4037632.959 110281.6046 160314.8349 155854.3328 179770.7974 155854.3328
225 6761307.721 20218179 1030294.51 39247377.17 3833776.464 107810.0642 160055.4938 148465.3422 178610.357 148465.3422
226 6461645.951 18828012 984631.764 38243762.63 3640212.502 105393.9139 159796.5722 141426.6606 177457.4074 141426.6606
227 6175265.218 17533430 940992.7952 37265812.03 3456421.413 103031.9124 159538.0695 134721.68 176311.9002 134721.68
228 5901576.905 16327862 899287.9094 36312869.1 3281909.772 100722.8461 159279.9849 128334.5798 175173.7874 128334.5798
229 5640018.483 15205187 859431.3879 35384294.35 3116209.068 98465.52871 159022.3179 122250.2895 174043.0212 122250.2895
230 5390052.353 14159704 821341.311 34479464.65 2958874.446 96258.80045 158765.0677 116454.4529 172919.5543 116454.4529
231 5151164.746 13186108 784939.3898 33597772.82 2809483.509 94101.52757 158508.2336 110933.3946 171803.3394 110933.3946
232 4922864.658 12279454 750150.805 32738627.17 2667635.187 91992.60171 158251.815 105674.0874 170694.3299 105674.0874
233 4704682.851 11435140 716904.0535 31901451.17 2532948.66 89930.93936 157995.8112 100664.1218 169592.4791 100664.1218
234 4496170.881 10648879 685130.801 31085683.02 2405062.337 87915.48128 157740.2216 95891.67662 168497.7409 95891.67662
235 4296900.181 9916681 654765.7419 30290775.29 2283632.88 85945.19199 157485.0454 91345.49115 167410.0693 91345.49115
