Z(km) O2+ O+ CO2+ CO+ NO+ N2+ OH+ H+ HCO+
126.467 1.14 111 370 111 6.91 9.77 0 0.000496 0
126.91 1.22 117 388 117 6.7 10.4 0 0.000542 0
127.359 1.31 124 407 123 6.49 11.1 0 0.000591 0
127.812 1.41 130 427 130 6.29 11.8 0 0.000643 0
128.271 1.51 137 447 137 6.09 12.6 0 0.000699 0
128.735 1.62 144 467 144 5.9 13.4 0 0.000758 0
129.203 1.73 152 487 151 5.72 14.2 0 0.00082 0
129.677 1.85 159 508 159 5.53 15.1 0 0.000887 0
130.156 1.97 167 529 167 5.36 16 0 0.000957 0
130.64 2.11 176 552 176 5.19 17 0 0.00104 0
131.13 2.26 185 575 185 5.03 18.1 0 0.00112 0
131.624 2.41 195 599 195 4.87 19.2 0 0.00121 0
132.124 2.58 204 623 205 4.71 20.4 0 0.0013 0
132.629 2.75 214 647 214 4.56 21.6 0 0.00139 0
133.139 2.92 224 670 224 4.42 22.8 0 0.00149 0
133.655 3.1 233 691 234 4.28 24 0 0.00159 0
134.176 3.27 242 712 243 4.14 25.2 0 0.0017 0
134.702 3.46 251 732 252 4.01 26.4 0 0.00181 0
135.234 3.65 260 751 261 3.88 27.6 0 0.00192 0
135.771 3.83 268 768 269 3.76 28.8 0 0.00203 0
136.313 4.03 277 786 278 3.64 30 0 0.00215 0
136.861 4.23 285 804 287 3.53 31.2 0 0.00227 0
137.414 4.44 294 821 295 3.42 32.5 0 0.00239 0
137.973 4.65 301 836 303 3.31 33.6 0 0.00252 0
138.537 4.85 308 849 310 3.21 34.7 0 0.00264 0
139.107 5.05 314 860 316 3.11 35.7 0 0.00276 0
139.683 5.24 319 869 322 3.01 36.6 0 0.00288 0
140.264 5.43 323 875 326 2.92 37.5 0 0.00302 0
140.85 5.61 326 879 329 2.82 38.2 0 0.00319 0
141.442 5.78 329 881 332 2.73 38.8 0 0.00336 0
142.04 5.95 330 881 334 2.65 39.4 0 0.00353 0
142.644 6.11 331 880 335 2.56 39.8 0 0.00371 0
143.252 6.27 331 877 335 2.48 40.2 0 0.00389 0
143.867 6.42 331 873 335 2.4 40.5 0 0.00407 0
144.488 6.56 330 867 334 2.32 40.7 0 0.00426 0
145.114 6.69 328 859 332 2.24 40.8 0 0.00444 0
145.746 6.8 324 849 329 2.17 40.8 0 0.00462 0
146.384 6.9 321 837 326 2.09 40.6 0 0.0048 0
147.027 6.99 316 823 321 2.02 40.4 0 0.00497 0
147.676 7.06 310 807 316 1.95 40 0 0.00514 0
148.331 7.12 304 790 310 1.88 39.6 0 0.00531 0
148.992 7.16 298 772 304 1.81 39.1 0 0.00546 0
149.659 7.2 291 753 297 1.75 38.5 0 0.00562 0
150.332 7.22 284 733 290 1.68 37.8 0 0.00579 0
151.01 7.24 276 713 282 1.62 37.1 0 0.00598 0
151.695 7.24 268 692 275 1.55 36.3 0 0.00617 0
